parameterization,k,num_sequences,init_confidence,synthetic_parameters,distill_run,eval_run,distill_best_step,distill_best_inner_loss,distill_final_inner_loss,best_epoch,val_perplexity,test_perplexity,final_epoch,final_val_perplexity,final_test_perplexity,series_source,distill_steps,train_ppl
topk,64,256,12.5,2097152,tm_topk_k64_n256_conf125,eval_tm_topk_k64_n256_conf125,113,0.16764573752880096,0.2922267019748688,9,70.11525629663623,66.95526928906189,15,76.85741453574127,72.6987689695557,results_seq128_nl2_do01_distil500_e15,500,34.78137857326909
topk,128,256,12.5,4194304,tm_topk_k128_n256_conf125,eval_tm_topk_k128_n256_conf125,214,0.17158858478069305,0.7512253522872925,10,69.5597941828731,66.4082131137607,15,75.13635341314271,71.46777448218444,results_seq128_nl2_do01_distil500_e15,500,30.373779650216207
topk,256,256,12.5,8388608,tm_topk_k256_n256_conf125,eval_tm_topk_k256_n256_conf125,269,0.16214512288570404,0.6974167227745056,9,69.71297839414993,66.57181972914103,15,75.43757938996639,71.66178207091328,results_seq128_nl2_do01_distil500_e15,500,34.703342350739
topk_gumbel,64,256,12.5,33554432,tm_gumbel_k64_n256_conf125,eval_tm_gumbel_k64_n256_conf125,301,0.16196681559085846,0.9094208478927612,10,71.23714750377833,67.80146928682046,15,77.22667664118534,73.23083524128344,results_seq128_nl2_do01_distil500_e15,500,30.798928614931206
topk_gumbel,128,256,12.5,33554432,tm_gumbel_k128_n256_conf125,eval_tm_gumbel_k128_n256_conf125,301,0.16190789639949799,0.908175528049469,10,71.23157623962659,67.79723141350063,15,77.20842349002105,73.2150084830219,results_seq128_nl2_do01_distil500_e15,500,30.865745636391495
topk_gumbel,256,256,12.5,33554432,tm_gumbel_k256_n256_conf125,eval_tm_gumbel_k256_n256_conf125,301,0.1617926061153412,0.9058969020843506,10,71.21996910256709,67.78819079382883,15,77.17089841545966,73.18227664849235,results_seq128_nl2_do01_distil500_e15,500,30.998254954914483
topk,64,256,12.5,2097152,tm_topk_k64_n256_conf125,eval_tm_topk_k64_n256_conf125,113,0.16764573752880096,0.2713569402694702,9,70.11525674294595,66.95527048334668,15,76.85741644915892,72.69876903586585,results_seq128_nl2_do01_distil600_e15,600,34.781377925415434
topk,128,256,12.5,4194304,tm_topk_k128_n256_conf125,eval_tm_topk_k128_n256_conf125,214,0.17158858478069305,0.42512744665145874,10,69.55979434030388,66.4082130599186,15,75.13635443345397,71.46777228030113,results_seq128_nl2_do01_distil600_e15,600,30.373779763367356
topk,256,256,12.5,8388608,tm_topk_k256_n256_conf125,eval_tm_topk_k256_n256_conf125,269,0.16214510798454285,0.8443382978439331,9,69.7129791830372,66.57182026888881,15,75.43758113998614,71.66178318210629,results_seq128_nl2_do01_distil600_e15,600,34.70334209217895
topk_gumbel,64,256,12.5,33554432,tm_gumbel_k64_n256_conf125,eval_tm_gumbel_k64_n256_conf125,301,0.16196680068969727,0.7507025003433228,10,71.23714851144727,67.80147049619897,15,77.22667567987995,73.23083767560699,results_seq128_nl2_do01_distil600_e15,600,30.798928729666155
topk_gumbel,128,256,12.5,33554432,tm_gumbel_k128_n256_conf125,eval_tm_gumbel_k128_n256_conf125,301,0.16190789639949799,0.7475337982177734,10,71.23157478869685,67.7972309737541,15,77.20842453846991,73.21500718450197,results_seq128_nl2_do01_distil600_e15,600,30.865745061472186
topk_gumbel,256,256,12.5,33554432,tm_gumbel_k256_n256_conf125,eval_tm_gumbel_k256_n256_conf125,301,0.1617926061153412,0.7422860264778137,10,71.21996853840855,67.78818903507737,15,77.1708981534749,73.18227658915795,results_seq128_nl2_do01_distil600_e15,600,30.998254723959487
